,Reaction Type,Datetime,Content Type,Content ID,Category,Sentiment,Score,,,,
0,disgust,07-11-2020 09:43,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,0,,,,
1,dislike,17-06-2021 12:22,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,10,,,Categories,No. of Reactions
2,scared,18-04-2021 05:13,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,15,,,animals,1897
3,disgust,06-01-2021 19:13,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,0,,,cooking,1664
4,interested,23-08-2020 12:25,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,30,,,culture,1676
5,peeking,07-12-2020 06:27,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,35,,,dogs,1338
6,cherish,11-04-2021 17:35,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,70,,,education,1433
7,hate,27-01-2021 08:32,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,5,,,fitness,1395
8,peeking,01-04-2021 22:54,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,35,,,food,1699
9,love,04-08-2020 05:05,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,65,,,healthy eating,1717
10,indifferent,07-11-2020 08:36,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,20,,,public speaking,1217
11,scared,02-11-2020 06:28,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,15,,,science,1796
12,interested,01-11-2020 01:16,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,30,,,soccer,1457
13,hate,07-10-2020 18:39,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,5,,,studying,1363
14,scared,03-09-2020 18:51,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,15,,,technology,1698
15,super love,24-02-2021 05:09,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,75,,,tennis,1328
16,peeking,23-09-2020 06:24,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,35,,,travel,1647
17,indifferent,24-02-2021 11:37,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,20,,,veganism,1248
18,interested,22-05-2021 19:44,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,30,,,,
19,intrigued,31-01-2021 16:03,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,45,,,,
20,peeking,20-11-2020 17:26,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,neutral,35,,,,
21,worried,11-04-2021 20:47,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,12,,,,
22,like,13-06-2021 16:46,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,50,,,,
23,heart,11-04-2021 14:29,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,positive,60,,,,
24,worried,02-03-2021 19:21,photo,97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,negative,12,,,,
